step,lyap_E,mse,T_max,T_mean,overheat_frac,mean_ctrl,cooling_power,heat_removed,TV
206,0.0,0.0,35.3938902338244,28.065730361369614,0.0,0.0,0.0,0.0,0.0
207,0.0,0.0,35.42937791240118,28.070843426709565,0.0,0.0,0.0,0.0,0.0
208,0.0,0.0,35.464824982954475,28.0759560749277,0.0,0.0,0.0,0.0,0.0
209,0.0,0.0,35.50023153964371,28.081068305096572,0.0,0.0,0.0,0.0,0.0
210,0.0,0.0,35.535597676299005,28.086180116291356,0.0,0.0,0.0,0.0,0.0
211,0.0,0.0,35.57092348642278,28.09129150758984,0.0,0.0,0.0,0.0,0.0
212,0.0,0.0,35.606209063191265,28.096402478072413,0.0,0.0,0.0,0.0,0.0
213,0.0,0.0,35.641454499456074,28.10151302682206,0.0,0.0,0.0,0.0,0.0
214,0.0,0.0,35.67665988774571,28.10662315292433,0.0,0.0,0.0,0.0,0.0
215,0.0,0.0,35.71182532026708,28.111732855467363,0.0,0.0,0.0,0.0,0.0
216,0.0,0.0,35.746950888907065,28.11684213354187,0.0,0.0,0.0,0.0,0.0
217,0.0,0.0,35.78203668523396,28.121950986241107,0.0,0.0,0.0,0.0,0.0
218,0.0,0.0,35.817082800499,28.12705941266089,0.0,0.0,0.0,0.0,0.0
219,0.0,0.0,35.85208932563784,28.132167411899577,0.0,0.0,0.0,0.0,0.0
220,0.0,0.0,35.887056351272044,28.137274983058056,0.0,0.0,0.0,0.0,0.0
221,0.0,0.0,35.92198396771053,28.142382125239738,0.0,0.0,0.0,0.0,0.0
222,0.0,0.0,35.95687226495106,28.14748883755056,0.0,0.0,0.0,0.0,0.0
223,0.0,0.0,35.99172133268167,28.15259511909897,0.0,0.0,0.0,0.0,0.0
224,0.0,0.0,36.02653126028213,28.15770096899591,0.0,0.0,0.0,0.0,0.0
225,0.0,0.0,36.061302136825354,28.162806386354838,0.0,0.0,0.0,0.0,0.0
226,0.0,0.0,36.09603405107885,28.167911370291673,0.0,0.0,0.0,0.0,0.0
227,0.0,0.0,36.130727091506145,28.173015919924826,0.0,0.0,0.0,0.0,0.0
228,0.0,0.0,36.16538134626815,28.17812003437518,0.0,0.0,0.0,0.0,0.0
229,0.0,0.0,36.199996903224616,28.183223712766093,0.0,0.0,0.0,0.0,0.0
230,0.0,0.0,36.23457384993549,28.18832695422336,0.0,0.0,0.0,0.0,0.0
231,0.0,0.0,36.26911227366231,28.19342975787524,0.0,0.0,0.0,0.0,0.0
232,0.0,0.0,36.303612261369594,28.19853212285243,0.0,0.0,0.0,0.0,0.0
233,0.0,0.0,36.3380738997262,28.20363404828807,0.0,0.0,0.0,0.0,0.0
234,0.0,0.0,36.372497275106674,28.208735533317714,0.0,0.0,0.0,0.0,0.0
235,0.0,0.0,36.40688247359263,28.213836577079352,0.0,0.0,0.0,0.0,0.0
236,0.0,0.0,36.44122958097408,28.21893717871338,0.0,0.0,0.0,0.0,0.0
237,0.0,0.0,36.47553868275076,28.2240373373626,0.0,0.0,0.0,0.0,0.0
238,0.0,0.0,36.50980986413347,28.229137052172213,0.0,0.0,0.0,0.0,0.0
239,0.0,0.0,36.54404321004542,28.234236322289817,0.0,0.0,0.0,0.0,0.0
240,0.0,0.0,36.578238805123505,28.2393351468654,0.0,0.0,0.0,0.0,0.0
241,0.0,0.0,36.612396733719635,28.244433525051317,0.0,0.0,0.0,0.0,0.0
242,0.0,0.0,36.64651707990202,28.24953145600231,0.0,0.0,0.0,0.0,0.0
243,0.0,0.0,36.68059992745648,28.254628938875463,0.0,0.0,0.0,0.0,0.0
244,0.0,0.0,36.71464535988771,28.259725972830253,0.0,0.0,0.0,0.0,0.0
245,0.0,0.0,36.748653460420584,28.264822557028477,0.0,0.0,0.0,0.0,0.0
246,0.0,0.0,36.78262431200138,28.269918690634285,0.0,0.0,0.0,0.0,0.0
247,0.0,0.0,36.81655799729909,28.27501437281418,0.0,0.0,0.0,0.0,0.0
248,0.0,0.0,36.850454598706655,28.280109602736978,0.0,0.0,0.0,0.0,0.0
249,0.0,0.0,36.88431419834219,28.28520437957384,0.0,0.0,0.0,0.0,0.0
250,0.0,0.0,36.91813687805026,28.290298702498223,0.0,0.0,0.0,0.0,0.0
251,0.0,0.0,36.951922719403115,28.295392570685916,0.0,0.0,0.0,0.0,0.0
252,0.0,0.0,36.98567180370187,28.300485983315,0.0,0.0,0.0,0.0,0.0
253,0.0,0.0,37.01938421197778,28.305578939565866,0.0,0.0,0.0,0.0,0.0
254,0.0,0.0,37.05306002499342,28.31067143862119,0.0,0.0,0.0,0.0,0.0
255,0.0,0.0,37.086699323243906,28.315763479665936,0.0,0.0,0.0,0.0,0.0
256,0.0,0.0,37.120302186958085,28.320855061887357,0.0,0.0,0.0,0.0,0.0
257,0.0,0.0,37.15386869609973,28.32594618447496,0.0,0.0,0.0,0.0,0.0
258,0.0,0.0,37.187398930368715,28.331036846620556,0.0,0.0,0.0,0.0,0.0
259,0.0,0.0,37.220892969202225,28.33612704751817,0.0,0.0,0.0,0.0,0.0
260,0.0,0.0,37.254350891775886,28.341216786364118,0.0,0.0,0.0,0.0,0.0
261,0.0,0.0,37.28777277700496,28.346306062356952,0.0,0.0,0.0,0.0,0.0
262,0.0,0.0,37.3211587035455,28.351394874697476,0.0,0.0,0.0,0.0,0.0
263,0.0,0.0,37.354508749795485,28.356483222588718,0.0,0.0,0.0,0.0,0.0
264,0.0,0.0,37.387822993895995,28.361571105235942,0.0,0.0,0.0,0.0,0.0
265,0.0,0.0,37.421101513732324,28.366658521846645,0.0,0.0,0.0,0.0,0.0
266,0.0,0.0,37.45434438693512,28.371745471630536,0.0,0.0,0.0,0.0,0.0
267,0.0,0.0,37.48755169088152,28.376831953799538,0.0,0.0,0.0,0.0,0.0
268,0.0,0.0,37.52072350269625,28.381917967567773,0.0,0.0,0.0,0.0,0.0
269,0.0,0.0,37.55385989925277,28.387003512151587,0.0,0.0,0.0,0.0,0.0
270,0.0,0.0,37.58696095717436,28.392088586769486,0.0,0.0,0.0,0.0,0.0
271,0.0,0.0,37.62002675283524,28.397173190642206,0.0,0.0,0.0,0.0,0.0
272,0.0,0.0,37.653057362361615,28.40225732299264,0.0,0.0,0.0,0.0,0.0
273,0.0,0.0,37.686052861632845,28.40734098304586,0.0,0.0,0.0,0.0,0.0
274,0.0,0.0,37.71901332628246,28.41242417002913,0.0,0.0,0.0,0.0,0.0
275,0.0,0.0,37.75193883169926,28.417506883171853,0.0,0.0,0.0,0.0,0.0
276,0.0,0.0,37.78482945302841,28.422589121705613,0.0,0.0,0.0,0.0,0.0
277,0.0,0.0,37.81768526517246,28.427670884864156,0.0,0.0,0.0,0.0,0.0
278,0.0,0.0,37.850506342792436,28.432752171883337,0.0,0.0,0.0,0.0,0.0
279,0.0,0.0,37.8832927603089,28.437832982001197,0.0,0.0,0.0,0.0,0.0
280,0.0,0.0,37.91604459190296,28.442913314457908,0.0,0.0,0.0,0.0,0.0
281,0.0,0.0,37.94876191151736,28.447993168495753,0.0,0.0,0.0,0.0,0.0
282,0.0,0.0,37.981444792857474,28.453072543359163,0.0,0.0,0.0,0.0,0.0
283,0.0,0.0,38.01409330939236,28.458151438294678,0.0,0.0,0.0,0.0,0.0
284,0.0,0.0,38.046707534355775,28.46322985255097,0.0,0.0,0.0,0.0,0.0
285,0.0,0.0,38.07928754074721,28.46830778537881,0.0,0.0,0.0,0.0,0.0
286,0.0,0.0,38.11183340133288,28.473385236031074,0.0,0.0,0.0,0.0,0.0
287,0.0,0.0,38.14434518864676,28.47846220376273,0.0,0.0,0.0,0.0,0.0
288,0.0,0.0,38.17682297499155,28.483538687830862,0.0,0.0,0.0,0.0,0.0
289,0.0,0.0,38.20926683243971,28.488614687494632,0.0,0.0,0.0,0.0,0.0
290,0.0,0.0,38.24167683283442,28.493690202015273,0.0,0.0,0.0,0.0,0.0
291,0.0,0.0,38.2740530477906,28.498765230656126,0.0,0.0,0.0,0.0,0.0
292,0.0,0.0,38.30639554869587,28.50383977268256,0.0,0.0,0.0,0.0,0.0
293,0.0,0.0,38.33870440671151,28.50891382736206,0.0,0.0,0.0,0.0,0.0
294,0.0,0.0,38.37097969277346,28.51398739396415,0.0,0.0,0.0,0.0,0.0
295,0.0,0.0,38.40322147759328,28.51906047176041,0.0,0.0,0.0,0.0,0.0
296,0.0,0.0,38.43542983165909,28.524133060024468,0.0,0.0,0.0,0.0,0.0
