label,step,T_max,T_mean,overheat_frac,mean_ctrl,cooling_power,TV,lyap_E,decision_loss,alpha,beta,D,sensor_fraction,MI,corr
Fixed-clean VIFD,580,46.44706975673821,29.942620620308748,0.0053,6.020396541384863e-06,0.0011585669085223786,5.874885611201632e-06,2.6074061505628723e-06,0.003756206101924231,3.5,0.2,0.00035,1.0,0.028623885461969867,0.23370455852507
Fixed-clean VIFD,585,46.56994458383692,29.967161497641033,0.006,7.680377783237713e-06,0.001483563212454447,7.203626728314171e-06,3.3005983592378815e-06,0.00477274975390915,3.5,0.2,0.00035,1.0,0.03054502559504031,0.24263631611398448
Fixed-clean VIFD,590,46.69209562444846,29.99168553247261,0.0063,9.612715544798418e-06,0.0018636700984508234,8.693449728302744e-06,4.0972610978504265e-06,0.005951460541121481,3.5,0.2,0.00035,1.0,0.032526481843764665,0.2512001020980405
Fixed-clean VIFD,595,46.81350891571474,30.016192514582723,0.0065,1.1836092820053243e-05,0.002303062526928275,1.0346520184124652e-05,5.002636785138946e-06,0.007301710094564304,3.5,0.2,0.00035,1.0,0.03529019781663771,0.25943784570010014
Fixed-clean VIFD,600,46.934170612672496,30.040682225119422,0.0072,1.436158664835061e-05,0.00280453929251668,1.216358310567888e-05,6.0177624408904115e-06,0.008829654963739783,3.5,0.2,0.00035,1.0,0.038272738004175896,0.26725741689685995
Fixed-clean VIFD,605,47.054066997946116,30.065154434468987,0.0075,1.7208699250043188e-05,0.0033724760651562876,1.4147733846972195e-05,7.1470712392285686e-06,0.010545485805496638,3.5,0.2,0.00035,1.0,0.04226812618530913,0.27476324014633396
Fixed-clean VIFD,610,47.17318449342629,30.089608902685878,0.0079,2.0389661029902434e-05,0.004009939388133288,1.6298261470447773e-05,8.392077564080918e-06,0.012455165307629617,3.5,0.2,0.00035,1.0,0.04306113392408897,0.2819358399523247
Fixed-clean VIFD,615,47.291509664762046,30.11404538165619,0.0083,2.3915616940443228e-05,0.004719810479730747,1.8618914433567882e-05,9.753394075733701e-06,0.014564013593173514,3.5,0.2,0.00035,1.0,0.04563231165505294,0.2887700005876219
Fixed-clean VIFD,620,47.40902921638247,30.138463614973052,0.009,2.780029214296072e-05,0.005505456219225825,2.1113177332137255e-05,1.1232184994105665e-05,0.016879343995701773,3.5,0.2,0.00035,1.0,0.048052983081305845,0.2953041988403195
Fixed-clean VIFD,625,47.525729990289335,30.162863332933544,0.0094,3.2067285515966856e-05,0.006372091589178251,2.378974163821029e-05,1.2833636894828857e-05,0.019412775404510307,3.5,0.2,0.00035,1.0,0.0499500715302485,0.3016578048690689
Fixed-clean VIFD,630,47.6415989765453,30.187244253461262,0.0098,3.672921202157222e-05,0.007322943070767445,2.6645630961168323e-05,1.455919600954883e-05,0.022169153954856066,3.5,0.2,0.00035,1.0,0.05172290363239399,0.3078260976348708
Fixed-clean VIFD,635,47.75662332715702,30.21160608884555,0.0099,4.179226336703253e-05,0.008360052875702623,2.967751309561134e-05,1.640638400339048e-05,0.025151191115433277,3.5,0.2,0.00035,1.0,0.054690634763189874,0.31376912235180754
